id,date,title,source,judge,type,outlet,article_hint,search_query
2129,2020.03.12,"北 개성공단서 마스크 생산, 실현 가능할까?", 청와대 국민청원 게시판,전혀 사실 아님,TYPE_D,,,"北 개성공단서 마스크 생산, 실현 가능할까?"
2128,2020.03.12,"""기본소득 실험은 핀란드·스위스에서 실패했다""", 3월 10일 미래통합당 원내대책회의 발언,대체로 사실 아님,SKIP,,,
2127,2022.04.25,코로나19 접촉자 증상 없어도 강제 조사 가능하다, 언론사 자체 문제제기 ,대체로 사실,TYPE_C,,,코로나19 접촉자 증상 없어도 강제 조사 가능하다
2126,2022.04.29,"""일본 정부는 일본 내 가구당 40장씩 마스크를 무료 배포한다""", 3월 8일 온라인 커뮤니티,전혀 사실 아님,SKIP,,,
2125,2020.03.10,"문재인 대통령이 긴급 행정명령으로 조선족은 1개월만 거주하면 주민증, 선거권 발급?", 인터넷 커뮤니티,전혀 사실 아님,SKIP,,,
2124,2020.03.09,공적 판매 마스크를 유통하는 업체와 판매하는 약국이 부당하게 많은 유통·판매 마진을 얻고 있다?  , 인터넷 커뮤니티 'MLB 파크',대체로 사실 아님,SKIP,,,
2123,2020.03.09,"코로나19, 구충제로 억제할 수 있다", 온라인 커뮤니티,전혀 사실 아님,SKIP,,,
2122,2022.04.25,중국 웨이하이시가 보낸 마스크는 불량이다?, 온라인커뮤니티,전혀 사실 아님,SKIP,,,
2121,2020.03.05,"""LED 자외선 살균기로 소독하면 마스크를 재활용할 수 있다.""", 인터넷 카페 등,절반의 사실,SKIP,,,
2120,2022.04.29,"""마스크 턱에 걸쳐도 괜찮다""", 시청자 제보 ,전혀 사실 아님,SKIP,,,
2119,2020.03.05,자외선으로 마스크 소독 가능? , 자외선 소독기 광고출처: 개인 블로그 출처: 유튜브,대체로 사실,SKIP,,,
2118,2020.03.06,신천지 이만희와 문재인 대통령이 악수한 과거 사진이 있다?, 가로세로연구소 유튜브 (33분45초부터)출처: 디시인사이드 게시글,대체로 사실 아님,SKIP,,,
2117,2020.03.04,"""대통령 긴급명령권은 중대한 교전상태에서 긴급한 조치가 필요할 때를 요건으로 한다""", 3월3일 청와대 대변인 브리핑 관련 SBS 보도 URL,사실,TYPE_B,SBS,,"""대통령 긴급명령권은 중대한 교전상태에서 긴급한 조치가 필요할 때를 요건으로 한다"""
2116,2020.03.05,중국에서 한국인만 차별한다?," 블로그, SNS",대체로 사실 아님,SKIP,,,
2115,2020.03.03,이만희 신천지예수교회 총회장이 기자회견 때 착용한 '박근혜 시계'는 가짜다?  , 노컷뉴스 <이만희 손목에 박근혜 시계…'거기서 왜 나와'> 기사,사실,SKIP,,,
2114,2022.04.29,'락스 분무기' 안전하다, 유튜버1출처: 유튜버2,대체로 사실 아님,SKIP,,,
2113,2022.04.25,"10초 이상 숨을 참고, 불편함 없으면 코로나19 감염안된것?", 각종 온라인 게시판,전혀 사실 아님,SKIP,,,
2112,2022.04.29,기재부와 제약회사 사장들이 코로나 관련 회의한 결과, 각종 온라인 게시판,전혀 사실 아님,SKIP,,,
2111,2020.02.28,"손소독제, 코로나19 바이러스 박멸? "," 블로그, 온라인쇼핑몰, SNS ",절반의 사실,SKIP,,,
2110,2020.02.28,(코로나 19를) 중국인 여행자가 국내에 감염시킨 사례보다 중국에서 들어온 우리 국민이 감염시킨 사례가 더 많았다, 코로나19 국내 감염의 주요 원인 등과 관련된 박능후 보건복지부 장관의 주장,판단 유보,SKIP,,,
2109,2022.04.29,서울대병원 26일 아침 회의에서 나온 코로나19 특징, 유튜브 '문갑식의 진짜TV'출처: 개인 블로그,대체로 사실 아님,SKIP,,,
2108,2020.02.28,산업재해 사망률이 절반 이하로 줄어든 건 기업살인법 덕분이다? ," ""영국 산재 절반으로 줄인 '기업살인법', 왜 우린 안 만드나"" (오마이뉴스 2018년 12월)",판단 유보,TYPE_A,오마이뉴스,"영국 산재 절반으로 줄인 '기업살인법', 왜 우린 안 만드나","영국 산재 절반으로 줄인 '기업살인법', 왜 우린 안 만드나"
2107,2020.02.28,기업살인법 도입으로 '위험의 외주화'를 막을 수 있다? ," 한국노총 새 위원장에 '강성' 김동명…""강한 노총 만들겠다""(뉴스1 1월21일)",대체로 사실 아님,TYPE_A,뉴스1,강한 노총 만들겠다,강한 노총 만들겠다
2106,2022.04.25,'부산 확진자 진상 LIVE 영상' 사실일까?, 인터넷 커뮤니티에 올라온 '부산 확진자 진상 LIVE영상 ㄷㄷ' 게시글,전혀 사실 아님,SKIP,,,
2105,2020.02.26,일회용 마스크 세탁해서 재사용해도 괜찮다?, SNU팩트체크 시민제안,대체로 사실,SKIP,,,
2104,2020.02.25,기업살인법은 벌금을 무한대로 물려 과실 기업을 심각한 경영 위기에 빠뜨린다? , [영국 기업살인법 제정 후 변화 살펴보니] 기업 연매출액 능가하는 벌금 부과 … 사망만인률 감소추세(매일노동뉴스 2013년4월)출처: 산재사망 처벌 및 원청 책임강화 토론회(2013년4월 국회)출처: 《비보호 좌회전(2015년 5월)》(강은주 저) ,절반의 사실,SKIP,,,
2103,2022.04.25,우한연구소로 파견되는 미국 친구의 글," SNS, 블로그 등",대체로 사실 아님,SKIP,,,
2102,2020.02.25,"""이재명 경기도지사가 신천지에 축전을 보냈다""", 한 트위터 이용자의 트윗,전혀 사실 아님,SKIP,,,
2101,2022.04.25,"""춘해보건대 김희진 총장입니다. 헤어드라이어를 쐬어주면 바이러스가 죽습니다"""," 페이스북, 트위터 등 SNS",전혀 사실 아님,SKIP,,,
2100,2022.04.29,공중화장실 비누로 바이러스 전파 가능하다, 트위터·인터넷 카페 등,대체로 사실 아님,SKIP,,,
2099,2020.02.24,성인지 예산 31조원은 여성가족부가 여성만을 위해 쓰는 예산이다, 게임 유튜버 개인 채널 [오세라비 초대석 여성가족부 편],전혀 사실 아님,SKIP,,,
2098,2020.02.24,일본 성범죄 비율은 한국 10분의 1이다 , 성매매 특별법 관련 종편 토론 프로그램 2차 가공 영상  ,전혀 사실 아님,SKIP,,,
2097,2020.02.24,영국 정부는 산업 안전을 위해 각 기업에 구체적 지침이 아닌 포괄적 목표만 제시한다? , 영국 보건안전청(HSE),사실,SKIP,,,
2096,2020.02.24,기업살인법은 기업의 ‘고의적 살인’을 처벌하는 법이다? , 박혜영 노동건강연대 활동가 언론 인터뷰,절반의 사실,TYPE_D,,,기업살인법은 기업의 ‘고의적 살인’을 처벌하는 법이다?
2095,2020.02.24,기업의 산재 책임 강화를 위해 2008년 영국이 도입한 법률의 이름은 ‘기업살인법’이다?, “사고성 산재사망 매일 3명꼴.. 법은 여전히 기업편”(노컷뉴스 2019년 11월29일),절반의 사실,SKIP,,,
2094,2020.02.21,남녀 임금격차는 여성이 이과/공대에 가지 않아서 생긴다, 그 페미니즘은 틀렸다…고 / [아찔한 토론 #2] / 비디오머그출처: 유리천장. 여성임금 63만원의 진실을 알려드립니다,전혀 사실 아님,SKIP,,,
2093,2020.02.23,서울시가 관할 내 집회를 일시적으로 금지한 것은 월권행위, 온라인 커뮤니티 MLBPARK 게시글,전혀 사실 아님,SKIP,,,
2092,2020.02.21,“분식집에서 라면 국물만 달라고 해서 도시락과 먹고는 했다. 라면이 300원이면 라면 국물은 50원 정도 했다”, 한국일보 <“돈 없어 국물만”... 황교안이 쏘아 올린 ‘라면 국물’ 논란?> 기사출처: 페이스북 게시글출처: 페이스북 게시글,사실,SKIP,,,
2091,2020.02.21,"""KIST 기념조형물에서 이름 삭제된 ‘조민’은 조국 딸이 아니라 동명이인이다""", 중앙일보 기사 댓글출처: 한국일보 기사 댓글,전혀 사실 아님,TYPE_B,중앙일보,,"""KIST 기념조형물에서 이름 삭제된 ‘조민’은 조국 딸이 아니라 동명이인이다"""
2090,2020.02.21,"두산重 경영난, 文정부 탈원전 정책 때문이다?", 일부 언론 보도,대체로 사실 아님,SKIP,,,
